delta,alpha,steady_time
0.02040816326530612,1.1326530612244896,149.99
0.02040816326530612,1.173469387755102,149.99
0.02040816326530612,1.2142857142857142,149.99
0.02040816326530612,1.2551020408163265,149.99
0.02040816326530612,1.2959183673469385,149.99
0.02040816326530612,1.3367346938775508,149.99
0.02040816326530612,1.3775510204081631,149.99
0.02040816326530612,1.4183673469387754,149.99
0.02040816326530612,1.4591836734693877,149.99
0.02040816326530612,1.5,149.99
0.030612244897959183,-0.5,31.75
0.030612244897959183,-0.45918367346938777,149.99
0.030612244897959183,-0.41836734693877553,149.99
0.030612244897959183,-0.37755102040816324,149.99
0.030612244897959183,-0.33673469387755106,149.99
0.030612244897959183,-0.29591836734693877,149.99
0.030612244897959183,-0.25510204081632654,149.99
0.030612244897959183,-0.2142857142857143,149.99
0.030612244897959183,-0.17346938775510207,149.99
0.030612244897959183,-0.13265306122448983,149.99
0.030612244897959183,-0.0918367346938776,112.55
0.030612244897959183,-0.05102040816326536,145.92000000000002
0.030612244897959183,-0.010204081632653073,149.99
0.030612244897959183,0.030612244897959107,149.99
0.030612244897959183,0.0714285714285714,149.99
0.030612244897959183,0.11224489795918358,149.99
0.030612244897959183,0.15306122448979587,149.99
0.030612244897959183,0.19387755102040816,131.99
0.030612244897959183,0.23469387755102034,149.99
0.030612244897959183,0.2755102040816326,149.99
0.030612244897959183,0.3163265306122448,149.99
0.030612244897959183,0.3571428571428571,149.99
0.030612244897959183,0.3979591836734693,149.99
0.030612244897959183,0.43877551020408156,149.99
0.030612244897959183,0.47959183673469385,149.99
0.030612244897959183,0.5204081632653061,149.99
0.030612244897959183,0.5612244897959182,149.99
0.030612244897959183,0.6020408163265305,149.99
0.030612244897959183,0.6428571428571428,149.99
0.030612244897959183,0.6836734693877551,149.99
0.030612244897959183,0.7244897959183672,149.99
0.030612244897959183,0.7653061224489794,149.99
0.030612244897959183,0.8061224489795917,149.99
0.030612244897959183,0.846938775510204,149.99
0.030612244897959183,0.8877551020408163,149.99
0.030612244897959183,0.9285714285714284,149.99
0.030612244897959183,0.9693877551020407,149.99
0.030612244897959183,1.010204081632653,149.99
0.030612244897959183,1.0510204081632653,149.99
0.030612244897959183,1.0918367346938773,149.99
0.030612244897959183,1.1326530612244896,149.99
0.030612244897959183,1.173469387755102,149.99
0.030612244897959183,1.2142857142857142,149.99
0.030612244897959183,1.2551020408163265,149.99
0.030612244897959183,1.2959183673469385,149.99
0.030612244897959183,1.3367346938775508,149.99
0.030612244897959183,1.3775510204081631,149.99
0.030612244897959183,1.4183673469387754,149.99
0.030612244897959183,1.4591836734693877,149.99
0.030612244897959183,1.5,149.99
0.04081632653061224,-0.5,149.99
0.04081632653061224,-0.45918367346938777,149.99
0.04081632653061224,-0.41836734693877553,149.99
0.04081632653061224,-0.37755102040816324,149.99
0.04081632653061224,-0.33673469387755106,149.99
0.04081632653061224,-0.29591836734693877,149.99
0.04081632653061224,-0.25510204081632654,149.99
0.04081632653061224,-0.2142857142857143,149.99
0.04081632653061224,-0.17346938775510207,149.99
0.04081632653061224,-0.13265306122448983,149.99
0.04081632653061224,-0.0918367346938776,149.99
0.04081632653061224,-0.05102040816326536,56.77
0.04081632653061224,-0.010204081632653073,87.07000000000001
0.04081632653061224,0.030612244897959107,149.99
0.04081632653061224,0.0714285714285714,149.99
0.04081632653061224,0.11224489795918358,91.75
0.04081632653061224,0.15306122448979587,149.99
0.04081632653061224,0.19387755102040816,110.8
0.04081632653061224,0.23469387755102034,149.99
0.04081632653061224,0.2755102040816326,9.950000000000001
0.04081632653061224,0.3163265306122448,149.99
0.04081632653061224,0.3571428571428571,149.99
0.04081632653061224,0.3979591836734693,149.99
0.04081632653061224,0.43877551020408156,149.99
0.04081632653061224,0.47959183673469385,149.99
0.04081632653061224,0.5204081632653061,149.99
0.04081632653061224,0.5612244897959182,149.99
0.04081632653061224,0.6020408163265305,149.99
0.04081632653061224,0.6428571428571428,149.99
0.04081632653061224,0.6836734693877551,149.99
0.04081632653061224,0.7244897959183672,149.99
0.04081632653061224,0.7653061224489794,149.99
0.04081632653061224,0.8061224489795917,149.99
0.04081632653061224,0.846938775510204,149.99
0.04081632653061224,0.8877551020408163,149.99
0.04081632653061224,0.9285714285714284,149.99
0.04081632653061224,0.9693877551020407,149.99
0.04081632653061224,1.010204081632653,149.99
0.04081632653061224,1.0510204081632653,149.99
0.04081632653061224,1.0918367346938773,149.99
0.04081632653061224,1.1326530612244896,149.99
0.04081632653061224,1.173469387755102,149.99
0.04081632653061224,1.2142857142857142,149.99
0.04081632653061224,1.2551020408163265,149.99
0.04081632653061224,1.2959183673469385,149.99
0.04081632653061224,1.3367346938775508,149.99
0.04081632653061224,1.3775510204081631,149.99
0.04081632653061224,1.4183673469387754,149.99
0.04081632653061224,1.4591836734693877,149.99
0.04081632653061224,1.5,149.99
0.0510204081632653,-0.5,149.99
0.0510204081632653,-0.45918367346938777,144.93
0.0510204081632653,-0.41836734693877553,149.99
0.0510204081632653,-0.37755102040816324,149.99
0.0510204081632653,-0.33673469387755106,149.99
0.0510204081632653,-0.29591836734693877,149.99
0.0510204081632653,-0.25510204081632654,149.99
