delta,omega,steady_time
0.0,0.5,149.99
0.0,0.5918367346938775,149.99
0.0,0.6836734693877551,149.99
0.0,0.7755102040816326,149.99
0.0,0.8673469387755102,149.99
0.0,0.9591836734693877,149.99
0.0,1.0510204081632653,149.99
0.0,1.1428571428571428,149.99
0.0,1.2346938775510203,149.99
0.0,1.3265306122448979,149.99
0.0,1.4183673469387754,149.99
0.0,1.5102040816326532,149.99
0.0,1.6020408163265307,149.99
0.0,1.6938775510204083,149.99
0.0,1.7857142857142858,149.99
0.0,1.8775510204081634,149.99
0.0,1.969387755102041,124.54
0.0,2.0612244897959187,149.99
0.0,2.1530612244897958,149.99
0.0,2.2448979591836737,149.99
0.0,2.336734693877551,149.99
0.0,2.428571428571429,149.99
0.0,2.5204081632653064,149.99
0.0,2.612244897959184,149.99
0.0,2.7040816326530615,149.99
0.0,2.795918367346939,149.99
0.0,2.8877551020408165,149.99
0.0,2.979591836734694,149.99
0.0,3.0714285714285716,149.99
0.0,3.163265306122449,149.99
0.0,3.2551020408163267,149.99
0.0,3.3469387755102042,149.99
0.0,3.438775510204082,149.99
0.0,3.5306122448979593,149.99
0.0,3.622448979591837,149.99
0.0,3.7142857142857144,149.99
0.0,3.806122448979592,149.99
0.0,3.8979591836734695,149.99
0.0,3.989795918367347,149.99
0.0,4.081632653061225,149.99
0.0,4.173469387755102,149.99
0.0,4.26530612244898,149.99
0.0,4.357142857142858,133.12
0.0,4.448979591836735,149.99
0.0,4.540816326530613,149.99
0.0,4.63265306122449,59.49
0.0,4.724489795918368,149.99
0.0,4.816326530612245,149.99
0.0,4.908163265306123,149.99
0.0,5.0,149.99
0.01020408163265306,0.5,149.99
0.01020408163265306,0.5918367346938775,149.99
0.01020408163265306,0.6836734693877551,149.99
0.01020408163265306,0.7755102040816326,149.99
0.01020408163265306,0.8673469387755102,82.28
0.01020408163265306,0.9591836734693877,149.99
0.01020408163265306,1.0510204081632653,149.99
0.01020408163265306,1.1428571428571428,149.99
0.01020408163265306,1.2346938775510203,149.99
0.01020408163265306,1.3265306122448979,149.99
0.01020408163265306,1.4183673469387754,149.99
0.01020408163265306,1.5102040816326532,149.99
0.01020408163265306,1.6020408163265307,149.99
0.01020408163265306,1.6938775510204083,149.99
0.01020408163265306,1.7857142857142858,149.99
0.01020408163265306,1.8775510204081634,149.99
0.01020408163265306,1.969387755102041,149.99
0.01020408163265306,2.0612244897959187,149.99
0.01020408163265306,2.1530612244897958,149.99
0.01020408163265306,2.2448979591836737,149.99
0.01020408163265306,2.336734693877551,149.99
0.01020408163265306,2.428571428571429,149.99
0.01020408163265306,2.5204081632653064,149.99
0.01020408163265306,2.612244897959184,149.99
0.01020408163265306,2.7040816326530615,149.99
0.01020408163265306,2.795918367346939,149.99
0.01020408163265306,2.8877551020408165,149.99
0.01020408163265306,2.979591836734694,149.99
0.01020408163265306,3.0714285714285716,149.99
0.01020408163265306,3.163265306122449,149.99
0.01020408163265306,3.2551020408163267,149.99
0.01020408163265306,3.3469387755102042,149.99
0.01020408163265306,3.438775510204082,149.99
0.01020408163265306,3.5306122448979593,149.99
0.01020408163265306,3.622448979591837,149.99
0.01020408163265306,3.7142857142857144,149.99
0.01020408163265306,3.806122448979592,149.99
0.01020408163265306,3.8979591836734695,149.99
0.01020408163265306,3.989795918367347,149.99
0.01020408163265306,4.081632653061225,149.99
0.01020408163265306,4.173469387755102,8.88
0.01020408163265306,4.26530612244898,149.99
0.01020408163265306,4.357142857142858,98.37
0.01020408163265306,4.448979591836735,149.99
0.01020408163265306,4.540816326530613,20.56
0.01020408163265306,4.63265306122449,149.99
0.01020408163265306,4.724489795918368,9.07
0.01020408163265306,4.816326530612245,149.99
0.01020408163265306,4.908163265306123,22.03
0.01020408163265306,5.0,15.200000000000001
0.02040816326530612,0.5,149.99
0.02040816326530612,0.5918367346938775,149.99
0.02040816326530612,0.6836734693877551,149.99
0.02040816326530612,0.7755102040816326,149.99
0.02040816326530612,0.8673469387755102,108.76
0.02040816326530612,0.9591836734693877,149.99
0.02040816326530612,1.0510204081632653,149.99
0.02040816326530612,1.1428571428571428,149.99
0.02040816326530612,1.2346938775510203,149.99
0.02040816326530612,1.3265306122448979,149.99
0.02040816326530612,1.4183673469387754,149.99
0.02040816326530612,1.5102040816326532,149.99
0.02040816326530612,1.6020408163265307,149.99
0.02040816326530612,1.6938775510204083,149.99
0.02040816326530612,1.7857142857142858,149.99
0.02040816326530612,1.8775510204081634,149.99
0.02040816326530612,1.969387755102041,149.99
0.02040816326530612,2.0612244897959187,149.99
0.02040816326530612,2.1530612244897958,149.99
0.02040816326530612,2.2448979591836737,149.99
0.02040816326530612,2.336734693877551,149.99
0.02040816326530612,2.428571428571429,149.99
0.02040816326530612,2.5204081632653064,149.99
0.02040816326530612,2.612244897959184,49.39
0.02040816326530612,2.7040816326530615,149.99
0.02040816326530612,2.795918367346939,149.99
0.02040816326530612,2.8877551020408165,149.99
0.02040816326530612,2.979591836734694,149.99
0.02040816326530612,3.0714285714285716,149.99
0.02040816326530612,3.163265306122449,131.65
0.02040816326530612,3.2551020408163267,149.99
0.02040816326530612,3.3469387755102042,55.81
0.02040816326530612,3.438775510204082,149.99
0.02040816326530612,3.5306122448979593,20.16
0.02040816326530612,3.622448979591837,149.99
0.02040816326530612,3.7142857142857144,149.99
0.02040816326530612,3.806122448979592,149.99
0.02040816326530612,3.8979591836734695,149.99
0.02040816326530612,3.989795918367347,14.16
0.02040816326530612,4.081632653061225,149.99
0.02040816326530612,4.173469387755102,26.53
